               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.034581,            0.015451,                   0,             0.87067,             0.87654,             0.87382,             0.38786,              0.0315,           0.0097561,                   0,           0.0084846,           0.0084846,           0.0084846
                  88,            0.034387,            0.015491,                   0,             0.85985,             0.83317,             0.82753,             0.32464,            0.032215,           0.0096949,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,            0.034409,             0.01488,                   0,             0.84847,             0.86412,              0.8882,             0.39031,            0.033801,           0.0076502,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.034399,            0.014845,                   0,             0.88458,             0.85185,             0.86064,             0.38228,            0.036948,           0.0081401,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,             0.03456,            0.015338,                   0,             0.90342,             0.80838,             0.85463,             0.36027,            0.039416,           0.0079422,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.033041,             0.01515,                   0,             0.82372,             0.83951,             0.84821,             0.35679,            0.039048,           0.0092481,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,            0.033295,            0.015022,                   0,             0.85788,             0.82099,              0.8486,             0.35217,            0.037991,           0.0089223,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.034912,            0.014912,                   0,             0.89409,             0.83951,             0.87718,             0.37485,            0.030928,           0.0095005,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.033811,            0.015076,                   0,             0.90608,             0.83951,             0.86872,             0.33534,             0.03933,           0.0097486,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.034655,            0.015265,                   0,             0.85161,             0.81477,             0.86474,             0.32927,            0.032818,            0.011057,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,            0.033276,            0.014989,                   0,             0.87412,             0.85731,             0.90327,             0.37251,            0.033235,           0.0099706,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,             0.03396,            0.015463,                   0,             0.89808,             0.87037,             0.91635,             0.39005,            0.027594,            0.011616,                   0,           0.0081078,           0.0081078,           0.0081078
                  99,              0.0348,            0.014964,                   0,             0.84593,             0.88272,             0.86036,             0.33611,             0.03082,            0.010251,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,            0.035699,            0.015097,                   0,             0.88383,             0.84568,             0.86958,             0.33862,            0.030588,            0.010287,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,            0.033755,            0.014991,                   0,              0.8811,             0.87037,             0.88396,             0.36387,            0.031473,           0.0088666,                   0,               0.008,               0.008,               0.008
                 102,            0.033398,             0.01424,                   0,             0.88919,             0.84568,             0.89688,             0.36389,            0.039277,           0.0098442,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,            0.032134,            0.014858,                   0,             0.84782,             0.89506,             0.87099,             0.35713,             0.03312,           0.0077498,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.033891,            0.015028,                   0,             0.87652,             0.88272,              0.8833,             0.36571,            0.031813,            0.009488,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,            0.034069,            0.014765,                   0,             0.89236,             0.87037,             0.90743,             0.38051,            0.029462,            0.010387,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.034218,            0.014497,                   0,             0.86361,             0.82083,             0.85298,              0.3476,            0.030818,           0.0093534,                   0,            0.007816,            0.007816,            0.007816
                 107,            0.034613,            0.015306,                   0,             0.81612,             0.79454,              0.7865,             0.29034,            0.034193,           0.0085692,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,             0.03338,            0.014863,                   0,             0.87264,             0.88889,             0.87892,              0.3642,            0.033067,           0.0084899,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,            0.033064,             0.01457,                   0,             0.91398,              0.8642,             0.91303,             0.38356,            0.029654,           0.0093043,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.033306,            0.014951,                   0,             0.88808,              0.8817,             0.89449,             0.37678,            0.034903,           0.0088622,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,              0.0326,            0.014619,                   0,             0.95946,             0.87647,             0.94143,             0.38503,            0.032182,            0.010399,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,            0.032494,            0.014847,                   0,             0.86821,             0.89467,             0.90739,             0.39688,            0.029885,           0.0084783,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.032621,            0.014316,                   0,             0.89139,             0.81481,             0.86673,             0.32492,            0.035814,            0.011248,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.034681,            0.014962,                   0,             0.82323,             0.75309,              0.8019,             0.33581,            0.036428,           0.0082076,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.031401,            0.014124,                   0,             0.80233,             0.82684,             0.84892,             0.32881,            0.028902,           0.0083764,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.032093,            0.014977,                   0,             0.90442,             0.87654,             0.92837,             0.40699,            0.033303,           0.0099358,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.031759,            0.014179,                   0,             0.87578,             0.82689,             0.87293,             0.39255,            0.033227,            0.010558,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,            0.031997,            0.014434,                   0,             0.84688,             0.88889,             0.87284,             0.37064,             0.02904,           0.0072367,                   0,            0.007355,            0.007355,            0.007355
                 119,            0.032128,            0.014386,                   0,             0.90725,             0.84568,             0.89696,             0.37739,            0.029556,           0.0089223,                   0,           0.0073155,           0.0073155,           0.0073155
