               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.044763,            0.019838,                   0,             0.32429,             0.45062,             0.22599,            0.053699,            0.042118,            0.013453,                   0,           0.0088963,           0.0088963,            0.013796
                  56,            0.044899,            0.019483,                   0,              0.5319,             0.60323,             0.50136,             0.13683,             0.03433,            0.011634,                   0,           0.0090331,           0.0090331,            0.012233
                  57,            0.045324,            0.020089,                   0,             0.26754,             0.46296,             0.21649,            0.054581,            0.044181,            0.016667,                   0,           0.0091687,           0.0091687,            0.010669
                  58,             0.04316,             0.02002,                   0,             0.25482,             0.39506,              0.1656,            0.036863,            0.043731,            0.014086,                   0,           0.0092846,           0.0092846,           0.0092846
                  59,            0.043542,            0.020062,                   0,             0.16183,             0.32716,             0.11918,            0.026336,            0.036016,            0.018013,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.043143,            0.019263,                   0,              0.7629,             0.59586,             0.62567,             0.21021,            0.039906,           0.0097856,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.042216,            0.019137,                   0,             0.58859,             0.40625,              0.3902,             0.10654,             0.04783,             0.00992,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,             0.04352,            0.019271,                   0,             0.71513,             0.66633,             0.66089,              0.1898,            0.045857,           0.0076067,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.041629,            0.019452,                   0,             0.32632,             0.25926,             0.16612,             0.03658,             0.05889,            0.010085,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,            0.041938,            0.018842,                   0,             0.78303,             0.64815,              0.6697,             0.20159,            0.034585,           0.0099116,                   0,           0.0091606,           0.0091606,           0.0091606
                  65,            0.041922,            0.019417,                   0,             0.86158,             0.73457,             0.77457,             0.24688,            0.031326,           0.0084995,                   0,           0.0091348,           0.0091348,           0.0091348
                  66,            0.040422,            0.018628,                   0,             0.78451,             0.65432,             0.66537,              0.2195,            0.043419,           0.0080312,                   0,           0.0091086,           0.0091086,           0.0091086
                  67,            0.039246,            0.018843,                   0,             0.72428,             0.53704,             0.55912,             0.16668,             0.04304,            0.008936,                   0,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040778,            0.018638,                   0,             0.67318,             0.48765,             0.50295,             0.13594,            0.049182,           0.0091924,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.039828,            0.018812,                   0,             0.48356,             0.73457,             0.50163,             0.15184,            0.035638,            0.010303,                   0,            0.009028,            0.009028,            0.009028
                  70,            0.039467,            0.018568,                   0,             0.78882,             0.78394,             0.76868,             0.27538,            0.035836,           0.0091982,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,             0.04084,            0.018333,                   0,             0.65104,             0.69097,             0.64107,             0.23626,            0.032238,            0.010179,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.039831,            0.018287,                   0,              0.6984,             0.54318,             0.56951,             0.17448,            0.033721,            0.010211,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,            0.039991,            0.018187,                   0,             0.64126,             0.77778,             0.65987,             0.26419,            0.034743,           0.0092699,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.039139,            0.017919,                   0,             0.77423,             0.71972,             0.70242,             0.22816,            0.040715,           0.0081747,                   0,            0.008887,            0.008887,            0.008887
                  75,            0.037771,            0.018145,                   0,             0.76674,             0.77106,             0.73972,              0.2644,            0.039416,           0.0086322,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.040588,             0.01807,                   0,              0.8653,             0.71378,             0.78824,             0.32295,            0.032162,           0.0090474,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.038725,               0.018,                   0,             0.81941,             0.81481,             0.80811,             0.29472,            0.034539,           0.0090483,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,             0.04013,            0.017996,                   0,             0.62275,             0.71605,               0.667,              0.2339,            0.036583,           0.0097927,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,            0.040478,            0.017721,                   0,             0.84422,             0.83951,             0.85544,             0.31437,            0.033145,           0.0096987,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.040462,            0.017604,                   0,             0.72274,             0.54321,             0.54892,             0.18072,            0.040028,            0.011431,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.040399,             0.01777,                   0,             0.77666,             0.75132,             0.75904,             0.26911,            0.035651,           0.0090472,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,            0.039047,            0.017393,                   0,             0.81737,             0.80864,             0.81861,               0.329,            0.032141,           0.0094173,                   0,           0.0086452,           0.0086452,           0.0086452
                  83,            0.038106,            0.017983,                   0,             0.84605,             0.78395,             0.81983,             0.30526,            0.039116,           0.0086604,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.039659,            0.017691,                   0,             0.76057,             0.41975,             0.46398,             0.12629,             0.04766,             0.01064,                   0,           0.0085818,           0.0085818,           0.0085818
                  85,             0.04043,            0.017976,                   0,             0.82588,             0.70269,             0.81771,             0.30717,            0.034235,           0.0087896,                   0,           0.0085497,           0.0085497,           0.0085497
                  86,            0.038892,            0.017656,                   0,             0.87393,             0.82099,             0.84415,             0.31935,            0.035107,           0.0090137,                   0,           0.0085173,           0.0085173,           0.0085173
                  87,            0.037968,            0.017268,                   0,             0.82577,             0.82099,             0.85112,             0.31376,            0.032514,           0.0089323,                   0,           0.0084846,           0.0084846,           0.0084846
                  88,            0.037781,            0.017517,                   0,              0.9133,             0.84529,             0.89174,             0.35157,            0.031322,           0.0088156,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,            0.037705,            0.017124,                   0,             0.82795,             0.80247,             0.84331,             0.31857,            0.037134,           0.0087879,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.038012,            0.017223,                   0,             0.89652,             0.80221,             0.82341,             0.31609,            0.035437,           0.0098575,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,            0.037498,            0.017451,                   0,             0.84662,             0.82099,             0.84586,             0.32713,            0.037113,           0.0084342,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.035899,            0.017244,                   0,             0.85617,             0.80841,             0.86413,             0.34505,            0.030698,           0.0094237,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,            0.036822,            0.017215,                   0,             0.86441,             0.83333,             0.85702,             0.33417,            0.032716,           0.0094583,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.038618,            0.017006,                   0,             0.85907,             0.75258,             0.82941,             0.32646,            0.032674,           0.0085423,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.037806,             0.01731,                   0,             0.83849,             0.83319,             0.82991,             0.32217,            0.031283,           0.0096111,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.038077,            0.017727,                   0,             0.90051,             0.84568,             0.87593,             0.36025,            0.034505,            0.008831,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,            0.037126,            0.017179,                   0,             0.88651,             0.77146,             0.83247,             0.34311,            0.031655,           0.0094735,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,            0.037327,            0.017556,                   0,             0.82585,             0.85185,             0.85912,              0.3619,            0.030334,           0.0096909,                   0,           0.0081078,           0.0081078,           0.0081078
                  99,            0.038593,            0.017157,                   0,             0.86818,              0.8642,             0.89228,              0.3506,            0.032682,           0.0088898,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,            0.039501,            0.017271,                   0,             0.82752,             0.74041,             0.82174,             0.32949,            0.031574,           0.0088444,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,             0.03759,            0.017339,                   0,             0.86562,             0.80864,             0.86854,             0.34833,            0.030316,           0.0087853,                   0,               0.008,               0.008,               0.008
                 102,            0.038253,            0.016438,                   0,             0.82215,             0.80247,              0.8132,             0.32572,            0.036763,           0.0091166,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,            0.037576,            0.017273,                   0,             0.88302,             0.83873,             0.86731,              0.3502,              0.0322,           0.0084031,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.038401,            0.017339,                   0,             0.89787,             0.81405,             0.86121,             0.34609,            0.031182,            0.010625,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,            0.037012,            0.017185,                   0,             0.70182,             0.63927,              0.6934,             0.23962,            0.042823,           0.0096802,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.037619,            0.016519,                   0,             0.89722,             0.80828,             0.86862,             0.33132,            0.033785,           0.0093152,                   0,            0.007816,            0.007816,            0.007816
                 107,            0.037914,            0.017496,                   0,             0.90318,             0.86372,             0.86087,             0.33123,            0.040863,           0.0088713,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,            0.036583,             0.01689,                   0,             0.89356,             0.88272,              0.8915,             0.33825,            0.031845,            0.009011,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,            0.037389,            0.016805,                   0,             0.90435,             0.87654,             0.91054,             0.35794,            0.028055,           0.0091329,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.037546,             0.01695,                   0,             0.83228,             0.85771,             0.85276,             0.32681,            0.032922,           0.0089202,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,             0.03724,            0.017004,                   0,             0.86946,             0.82716,             0.84816,             0.36224,            0.035358,           0.0082527,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,            0.036231,            0.017135,                   0,             0.88818,             0.88252,             0.91299,             0.38051,            0.034621,           0.0091469,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.036983,            0.016517,                   0,             0.85714,             0.77776,             0.81367,             0.31058,            0.040821,           0.0096058,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.037632,            0.017494,                   0,             0.90461,             0.82099,             0.88443,             0.32406,            0.037705,           0.0088873,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.035839,            0.016672,                   0,             0.90048,             0.89506,             0.90605,              0.3655,            0.036191,           0.0088824,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.036886,            0.017534,                   0,             0.87296,             0.80864,             0.86938,             0.30826,            0.031955,           0.0093303,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.035427,            0.016503,                   0,             0.90436,             0.83333,             0.87385,             0.30678,             0.03385,           0.0098275,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,            0.037024,            0.016846,                   0,             0.90062,             0.89503,             0.91102,             0.37335,            0.034072,           0.0083919,                   0,            0.007355,            0.007355,            0.007355
                 119,            0.036445,            0.016698,                   0,             0.94519,             0.85164,             0.91227,             0.34783,             0.03985,            0.009115,                   0,           0.0073155,           0.0073155,           0.0073155
                 120,            0.035828,            0.016432,                   0,             0.89676,             0.85793,             0.87542,             0.34178,            0.041295,           0.0085172,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,            0.036697,            0.016843,                   0,             0.94698,             0.88208,             0.91359,             0.35893,            0.037954,           0.0085416,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,             0.03489,            0.016564,                   0,             0.91556,             0.87037,             0.91327,             0.39358,            0.028453,           0.0092888,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,             0.03745,            0.016691,                   0,              0.8481,             0.82715,             0.84915,             0.33753,            0.034765,           0.0082233,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.035959,            0.016745,                   0,             0.89605,             0.85185,             0.86721,             0.34091,            0.041745,           0.0087653,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.036759,             0.01695,                   0,             0.93503,             0.88889,             0.92752,             0.37966,            0.036112,           0.0090402,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.036467,            0.016818,                   0,             0.89438,             0.88857,             0.89069,             0.36659,            0.031953,           0.0093212,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.037035,            0.016951,                   0,             0.89606,             0.85144,             0.88321,             0.33384,             0.03203,           0.0083715,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,            0.033863,            0.016726,                   0,             0.90317,             0.86369,             0.91271,             0.37471,            0.034134,           0.0085614,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.036663,            0.016297,                   0,             0.91611,             0.87635,             0.92393,             0.35441,            0.031761,           0.0089162,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.035863,            0.016623,                   0,             0.92948,             0.89493,             0.91859,              0.3847,            0.030974,           0.0097143,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.036822,            0.016782,                   0,             0.89607,             0.85185,             0.84794,             0.34306,             0.03453,           0.0093136,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.036413,            0.016683,                   0,             0.88163,              0.9195,                0.93,             0.37258,            0.028279,             0.01062,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.035772,            0.016037,                   0,             0.86563,             0.83951,              0.8794,              0.3635,            0.032163,           0.0090728,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.036837,            0.016559,                   0,              0.9155,             0.86943,             0.89655,             0.35668,            0.036276,           0.0087081,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,            0.034578,            0.016041,                   0,             0.87469,              0.8618,             0.86252,             0.33185,            0.031852,           0.0095825,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,            0.034291,            0.016033,                   0,             0.88749,             0.87644,             0.87694,             0.35037,            0.034637,            0.009246,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,             0.03499,            0.016962,                   0,             0.92193,             0.87654,             0.90197,             0.36148,            0.029449,           0.0090531,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,            0.035252,            0.016476,                   0,             0.89677,             0.85799,             0.90572,             0.38514,            0.031546,           0.0087118,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.035611,             0.01675,                   0,             0.93222,             0.85185,             0.89453,             0.39691,            0.034416,           0.0087524,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,            0.036503,            0.016276,                   0,             0.87571,             0.82632,             0.89006,             0.36505,            0.032293,           0.0083258,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.035528,             0.01687,                   0,             0.94404,             0.83305,             0.91317,             0.40191,            0.029849,           0.0078226,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,            0.036726,            0.016536,                   0,             0.91609,             0.87607,              0.8942,             0.39127,            0.032878,           0.0078773,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.035121,            0.015975,                   0,             0.90356,             0.92539,             0.92799,              0.3889,            0.029219,           0.0084253,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,             0.03489,            0.016594,                   0,             0.85788,             0.89429,             0.89585,             0.36797,            0.034016,            0.009591,                   0,            0.006293,            0.006293,            0.006293
                 145,             0.03536,            0.016373,                   0,             0.91665,             0.88248,             0.92479,             0.37972,            0.033089,           0.0075961,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,             0.03608,            0.015998,                   0,             0.92812,             0.80864,             0.88564,              0.3501,            0.028393,           0.0087482,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,            0.035068,            0.017068,                   0,             0.88528,              0.8574,             0.89183,             0.37813,            0.027064,            0.011015,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.035004,            0.016541,                   0,             0.91024,             0.87642,             0.91307,             0.38712,            0.034039,           0.0091335,                   0,           0.0061256,           0.0061256,           0.0061256
                 149,            0.034478,            0.016105,                   0,             0.91077,             0.88208,              0.9116,             0.38989,            0.035439,           0.0091665,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,            0.033814,            0.015617,                   0,             0.90538,             0.88889,             0.92553,              0.3869,            0.033255,            0.008937,                   0,           0.0060419,           0.0060419,           0.0060419
                 151,            0.034641,            0.015905,                   0,             0.90513,             0.88889,             0.90496,             0.39826,             0.02758,           0.0079521,                   0,               0.006,               0.006,               0.006
                 152,            0.034637,            0.015844,                   0,             0.88957,             0.84568,             0.88682,             0.37836,            0.028667,           0.0086789,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.034868,            0.016527,                   0,             0.84651,             0.85113,             0.88128,              0.3542,            0.032923,           0.0083327,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.033947,            0.015882,                   0,             0.86358,             0.82062,              0.8412,             0.32804,            0.031699,           0.0098541,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.034647,            0.016524,                   0,             0.90549,             0.88889,              0.9034,              0.3872,             0.03245,           0.0077161,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,            0.035544,            0.016243,                   0,              0.9238,             0.90123,             0.91068,             0.36857,            0.034019,           0.0070595,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,            0.034017,            0.016512,                   0,             0.91074,             0.88175,             0.90566,             0.39884,            0.032342,           0.0078149,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,            0.034934,            0.016303,                   0,             0.93433,             0.88272,             0.90959,             0.39087,            0.034794,           0.0085907,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.032981,            0.016261,                   0,             0.90909,             0.86414,             0.85664,             0.36831,            0.036514,           0.0086318,                   0,           0.0056653,           0.0056653,           0.0056653
                 160,            0.033616,            0.015673,                   0,             0.88735,             0.82659,              0.8557,             0.36898,            0.036039,           0.0079892,                   0,           0.0056236,           0.0056236,           0.0056236
                 161,            0.034726,             0.01646,                   0,             0.85672,             0.85185,             0.83578,             0.32348,            0.036497,            0.008796,                   0,           0.0055819,           0.0055819,           0.0055819
                 162,            0.033362,            0.015707,                   0,             0.90582,             0.89506,             0.91785,             0.38277,            0.031079,           0.0092758,                   0,           0.0055403,           0.0055403,           0.0055403
                 163,            0.034911,            0.015791,                   0,             0.89193,             0.87037,             0.89024,             0.37375,            0.030079,             0.01021,                   0,           0.0054987,           0.0054987,           0.0054987
                 164,            0.034292,             0.01639,                   0,             0.91764,              0.8941,             0.92415,             0.39527,             0.03311,           0.0096561,                   0,           0.0054571,           0.0054571,           0.0054571
                 165,            0.034147,            0.015949,                   0,             0.92897,             0.88889,             0.90539,             0.39562,            0.033588,           0.0087743,                   0,           0.0054157,           0.0054157,           0.0054157
                 166,             0.03517,             0.01646,                   0,             0.89647,             0.85802,             0.88047,             0.36621,            0.032307,           0.0084786,                   0,           0.0053743,           0.0053743,           0.0053743
